Address,Date,Guest_review,Hotel_name,Max_price,Price,Star_rating
"180 Brookline Avenue,Boston,MA",7Dec,3.9,Global Luxury Suites at Fenway Park South,"Rs11,323","Rs10,160",4 stars
"180 Brookline Avenue,Boston,MA",8Dec,3.9,Global Luxury Suites at Fenway Park South,"Rs11,323","Rs10,160",4 stars
"One Hotel Drive,Boston,MA",29Nov,4.1,Hilton Boston Logan Airport,"Rs13,328","Rs13,328",4 stars
"One Hotel Drive,Boston,MA",30Nov,4.1,Hilton Boston Logan Airport,"Rs13,978","Rs13,978",4 stars
"One Hotel Drive,Boston,MA",01-Dec,4.1,Hilton Boston Logan Airport,"Rs8,868","Rs8,868",4 stars
"One Hotel Drive,Boston,MA",2Dec,4.1,Hilton Boston Logan Airport,"Rs8,868","Rs8,868",4 stars
"One Hotel Drive,Boston,MA",3Dec,4.1,Hilton Boston Logan Airport,"Rs8,868","Rs8,868",4 stars
"One Hotel Drive,Boston,MA",4Dec,4.1,Hilton Boston Logan Airport,"Rs11,729","Rs11,729",4 stars
"One Hotel Drive,Boston,MA",5Dec,4.1,Hilton Boston Logan Airport,"Rs13,328","Rs13,328",4 stars
"One Hotel Drive,Boston,MA",6Dec,4.1,Hilton Boston Logan Airport,"Rs15,279","Rs15,279",4 stars
"One Hotel Drive,Boston,MA",7Dec,4.1,Hilton Boston Logan Airport,"Rs15,279","Rs15,279",4 stars
"One Hotel Drive,Boston,MA",8Dec,4.1,Hilton Boston Logan Airport,"Rs15,279","Rs15,279",4 stars
"9 Miner Street,Boston,MA",29Nov,4.1,Evolve Fenway Diamond,"Rs22,690","Rs19,287",4 stars
"9 Miner Street,Boston,MA",30Nov,4.1,Evolve Fenway Diamond,"Rs22,690","Rs19,287",4 stars
"9 Miner Street,Boston,MA",01-Dec,4.1,Evolve Fenway Diamond,"Rs22,690","Rs19,287",4 stars
"9 Miner Street,Boston,MA",2Dec,4.1,Evolve Fenway Diamond,"Rs22,690","Rs19,287",4 stars
"9 Miner Street,Boston,MA",3Dec,4.1,Evolve Fenway Diamond,"Rs22,690","Rs19,287",4 stars
"9 Miner Street,Boston,MA",4Dec,4.1,Evolve Fenway Diamond,"Rs22,690","Rs19,287",4 stars
"9 Miner Street,Boston,MA",5Dec,4.1,Evolve Fenway Diamond,"Rs22,690","Rs19,287",4 stars
"9 Miner Street,Boston,MA",6Dec,4.1,Evolve Fenway Diamond,"Rs22,690","Rs19,287",4 stars
"9 Miner Street,Boston,MA",7Dec,4.1,Evolve Fenway Diamond,"Rs22,690","Rs19,287",4 stars
"9 Miner Street,Boston,MA",8Dec,4.1,Evolve Fenway Diamond,"Rs22,690","Rs19,287",4 stars
"47 Huntington Ave,Boston,MA",29Nov,4.2,Copley Square Hotel,"Rs29,192","Rs21,894",4 stars
"47 Huntington Ave,Boston,MA",30Nov,4.2,Copley Square Hotel,"Rs25,940","Rs19,455",4 stars
"47 Huntington Ave,Boston,MA",01-Dec,4.2,Copley Square Hotel,"Rs16,189","Rs12,142",4 stars
"47 Huntington Ave,Boston,MA",2Dec,4.2,Copley Square Hotel,"Rs18,790","Rs14,092",4 stars
"47 Huntington Ave,Boston,MA",3Dec,4.2,Copley Square Hotel,"Rs13,589","Rs10,192",4 stars
"47 Huntington Ave,Boston,MA",4Dec,4.2,Copley Square Hotel,"Rs16,840","Rs12,630",4 stars
"47 Huntington Ave,Boston,MA",5Dec,4.2,Copley Square Hotel,"Rs31,143","Rs23,357",4 stars
"47 Huntington Ave,Boston,MA",6Dec,4.2,Copley Square Hotel,"Rs29,192","Rs21,894",4 stars
"47 Huntington Ave,Boston,MA",7Dec,4.2,Copley Square Hotel,"Rs20,740","Rs15,555",4 stars
"47 Huntington Ave,Boston,MA",8Dec,4.2,Copley Square Hotel,"Rs20,740","Rs15,555",4 stars
"200 Stuart St,Boston,MA",29Nov,4.4,Revere Hotel Boston Common,"Rs25,941","Rs21,591",4 stars
